Designator,Footprint,Quantity,Value,LCSC Part #
C1,Nondescript_C_0603_1608Metric,1,10u,C344022
"C10, C9",0603,2,10u,C19702
"C2, C3, C4, C5, C6",Nondescript_C_0402_1005Metric,5,100n,C2649549
D1,0603,1,Blue LED,C72041
"JP11, JP12",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,SolderJumper_2_Bridged,
"JP5, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,4,SolderJumper_2_Open,
"R1, R2",0402,2,1k5,C25867
"R10, R11, R12, R9",0402,4,60,
R3,Nondescript_R_0402_1005Metric,1,2.21k,C305298
R4,Nondescript_R_0402_1005Metric,1,845k,C270578
R5,Nondescript_R_0402_1005Metric,1,120k,C966870
"U1, U2",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI323,C5368700
U3,SOT-23-8,1,TCAN330,C2877587
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32L452CEU6,C222355
