Designator,Mid X,Mid Y,Rotation,Layer
C1,33.6,9.7,90.0,top
C10,70.225,1.3,180.0,top
C2,34.825,10.075,90.0,top
C3,43.57,8.05,0.0,top
C4,43.57,0.95,0.0,top
C5,33.45,3.75,180.0,top
C6,33.42,7.75,180.0,top
C9,67.085,94.7,180.0,top
D1,38.5125,92.75,0.0,top
R1,45.59,90.55,0.0,top
R10,71.46,94.45,0.0,top
R11,72.69,1.55,0.0,top
R12,74.59,1.55,0.0,top
R2,47.5,90.55,180.0,top
R3,36.0125,92.76,180.0,top
R4,32.125,1.475,180.0,top
R5,32.125,2.46,0.0,top
R9,69.55,94.45,0.0,top
U1,15.5775,47.985,270.0,top
U2,46.3,92.8875,180.0,top
U3,58.6225,9.355,0.0,top
U4,38.5,5.0,0.0,top
