Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3",BAT_1043,3,Battery_Cell,C5355143
"C1, C13, C14, C17, C2, C3, C6, C7, C8, C9",Nondescript_C_0402_1005Metric,10,100n,C1525
"C10, C11, C12, C15, C16",Nondescript_C_0402_1005Metric,5,1u,C52923
"C27, C5",Nondescript_C_0603_1608Metric,2,22u,C710887
C4,Nondescript_C_0603_1608Metric,1,10u,C77041
D1,0603,1,Blue LED,C72041
J2,Bus Connector (Target),1,Molex_504050-1291,C563982
J3,Bus Connector (Control),1,Molex_504050-1291,C563982
J4,Molex_504050-0691,1,Power Interconnect,C563981
L1,1008,1,2.2µH,C576403
"Q1, Q2, Q3",VSON-8_3.3x3.3mm_P0.65mm_NexFET,3,CSD16342Q5A,C47616
"R1, R13, R14, R23, R25, R26, R28, R3, R30, R6",Nondescript_R_0402_1005Metric,10,9k31,C270572
"R10, R24, R27, R29",2512,4,10m,C241862
"R17, R22",Nondescript_R_0402_1005Metric,2,23k2,C25873
"R2, R37, R38, R39, R4, R5, R7, R8, R9",Nondescript_R_0402_1005Metric,9,33,C25105
"R20, R21",Nondescript_R_0402_1005Metric,2,1k58,C113483
"R31, R33, R35",2512,3,0,C25469
"R49, R50",Nondescript_R_0402_1005Metric,2,60,C60310
R51,Nondescript_R_0603_1608Metric,1,36k5,C23029
TH1,Nondescript_R_0402_1005Metric,1,10k NTC,C336815
U1,LQFP-64_10x10mm_P0.5mm,1,STM32L452RCTx,C192722
U2,SOIC127P600X175-8N,1,TCAN330DR,C2652876
U3,UQFN-16-1EP_4x4mm_P0.65mm_EP2.6x2.6mm,1,PAC1934T-I/JQ,C623960
U8,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63900,C1518762
