Designator,Mid X,Mid Y,Rotation,Layer
BT1,20.0,40.1025,90.0,top
BT2,41.25,40.1025,90.0,top
BT3,62.5,40.1025,90.0,top
C1,34.25,47.98,270.0,bottom
C10,41.27,35.75,0.0,bottom
C11,38.25,41.75,0.0,bottom
C12,34.25,52.75,90.0,bottom
C13,46.75,57.25,180.0,bottom
C14,39.25,57.25,0.0,bottom
C15,46.75,58.25,180.0,bottom
C16,39.25,58.25,0.0,bottom
C17,48.75,63.5,270.0,bottom
C2,41.75,42.75,180.0,bottom
C27,71.5,39.75,90.0,bottom
C3,41.0,15.75,90.0,bottom
C4,69.8,39.75,90.0,bottom
C5,65.2875,38.025,270.0,bottom
C6,45.7,61.1,0.0,bottom
C7,41.27,34.75,0.0,bottom
C8,38.25,42.75,0.0,bottom
C9,35.25,52.75,90.0,bottom
D1,5.0,72.0,180.0,bottom
J2,58.0,20.275,90.0,bottom
J3,14.25,20.275,90.0,bottom
J4,15.69,50.104999,270.0,bottom
L1,67.0,41.5,180.0,bottom
Q1,28.0,7.69,180.0,bottom
Q2,49.25,7.69,180.0,bottom
Q3,70.5,7.69,180.0,bottom
R1,33.25,47.98,90.0,bottom
R10,62.5,41.4625,90.0,bottom
R13,45.9,59.25,0.0,bottom
R14,44.0,58.5,180.0,bottom
R17,25.305,60.605,90.0,bottom
R2,4.75,70.75,180.0,bottom
R20,25.305,62.555,90.0,bottom
R21,28.805,60.605,90.0,bottom
R22,28.805,62.555,90.0,bottom
R23,37.5,67.75,270.0,bottom
R24,16.75,73.75,90.0,bottom
R25,47.7,61.1,0.0,bottom
R26,38.49,67.75,270.0,bottom
R27,38.0,73.75,90.0,bottom
R28,39.49,67.75,270.0,bottom
R29,59.25,73.75,90.0,bottom
R3,41.75,41.75,180.0,bottom
R30,56.25,75.5,180.0,bottom
R31,25.0,3.75,180.0,bottom
R33,46.25,3.75,180.0,bottom
R35,67.5,3.75,180.0,bottom
R37,4.25,30.0,0.0,bottom
R38,8.75,36.75,270.0,bottom
R39,6.5,35.75,270.0,bottom
R4,43.25,42.25,270.0,bottom
R49,42.5,15.75,270.0,bottom
R5,49.5,56.0,0.0,bottom
R50,40.0,18.25,90.0,bottom
R51,66.7875,34.775,0.0,bottom
R6,49.75,45.5,90.0,bottom
R7,39.0,40.75,0.0,bottom
R8,49.5,55.0,0.0,bottom
R9,49.5,57.0,0.0,bottom
TH1,56.25,74.5,0.0,bottom
TP1,76.3,38.0,0.0,top
TP2,23.555,60.005,270.0,bottom
TP3,41.25,80.5,0.0,top
TP4,59.0,38.5,0.0,bottom
TP5,23.555,62.505,270.0,bottom
TP6,3.25,68.0,0.0,top
TP7,51.25,80.5,0.0,top
TP8,31.25,80.5,0.0,top
U1,42.5,50.0,90.0,bottom
U2,41.25,30.5,270.0,bottom
U3,45.575,64.275,90.0,bottom
U8,67.5375,37.5625,90.0,bottom
