Designator,Mid X,Mid Y,Rotation,Layer
BOOT_SELECT1,59.7,9.1,270.0,top
C1,53.47,55.44,270.0,top
C10,47.4,42.15,270.0,top
C11,41.8,42.15,90.0,top
C12,57.1,66.1,270.0,top
C13,63.1,70.1,0.0,top
C2,43.52,58.0,0.0,top
C3,52.1,55.1,270.0,top
C4,42.8,46.1,180.0,top
C5,40.1,49.5,90.0,top
C6,49.312,42.938,270.0,top
C7,50.611,42.986,270.0,top
C8,51.5,40.7,180.0,top
D2,38.8125,53.2,0.0,top
FB1,52.262,42.986,270.0,top
J1,23.08,9.03,90.0,top
J3,6.75,61.0,0.0,top
J4,78.49048,61.0,0.0,top
POWER_LED1,69.5,74.0,180.0,top
R1,57.0,14.3,90.0,top
R2,36.89,65.48,0.0,top
R3,72.7775,74.0,0.0,top
R4,30.3,52.69,270.0,top
R5,30.0,51.0,0.0,top
R6,60.54,52.97,90.0,top
R7,56.98,54.99,270.0,top
R9,36.0,53.2,180.0,top
U1,46.0,52.0,90.0,top
U2,62.1,64.1,270.0,top
USB1,44.67,71.615,180.0,top
Y1,44.6,42.15,180.0,top
