Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C19, C2, C20, C3, C7, C8, C9",Nondescript_C_0402_1005Metric,10,100n,C1525
"C10, C11, C12, C15, C16, C18",Nondescript_C_0402_1005Metric,6,1u,C52923
"C17, C5",Nondescript_C_0603_1608Metric,2,22u,C710887
C4,Nondescript_C_0402_1005Metric,1,10u,C15525
C6,Nondescript_C_0603_1608Metric,1,10u,C77041
D1,0603,1,Blue LED,C72041
J2,Bus Connector (Target),1,Molex_504050-1291,C563982
J3,Bus Connector (Control),1,Molex_504050-1291,C563982
L1,1008,1,2.2µH,C576403
"R1, R11, R12, R17, R25, R26, R3, R33, R48, R6",Nondescript_R_0402_1005Metric,10,9k31,C270572
R10,Nondescript_R_0603_1608Metric,1,36k5,C23029
"R13, R16",Nondescript_R_0402_1005Metric,2,3k16,C11462
"R14, R15",Nondescript_R_0402_1005Metric,2,221k,C163479
"R18, R19, R2, R20, R21, R22, R23, R34, R37, R38, R39, R4, R5, R7, R8, R9",Nondescript_R_0402_1005Metric,16,33,C25105
"R49, R50",Nondescript_R_0402_1005Metric,2,60,C60310
U1,LQFP-64_10x10mm_P0.5mm,1,STM32L452RCTx,C192722
U2,SOIC127P600X175-8N,1,TCAN330DR,C2652876
U3,TSSOP-16_4.4x5mm_P0.65mm,1,INA260,C2155885
U4,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63900,C1518762
U6,Bosch_LGA-14_3x2.5mm_P0.5mm,1,IMU1,C5368700
