Designator,Mid X,Mid Y,Rotation,Layer
C1,23.5,50.5,90.0,bottom
C10,41.27,35.75,0.0,top
C11,26.475,42.525,0.0,bottom
C12,22.475,53.525,90.0,bottom
C13,34.5,58.0,0.0,bottom
C14,27.475,58.025,0.0,bottom
C15,34.5,59.0,0.0,bottom
C16,27.475,59.025,0.0,bottom
C17,65.5,34.25,270.0,top
C18,12.0,39.01,0.0,top
C19,10.0,39.01,180.0,top
C2,28.0,39.5,180.0,top
C20,13.5,39.76,270.0,top
C3,41.0,15.75,90.0,bottom
C4,72.02,33.5,180.0,top
C5,59.5,36.275,90.0,top
C6,64.0,34.2375,270.0,top
C7,41.27,34.75,0.0,top
C8,26.475,43.525,0.0,bottom
C9,23.475,53.525,90.0,bottom
D1,5.0,72.0,0.0,top
J2,68.25,20.275,90.0,top
J3,14.25,20.275,90.0,bottom
L1,61.75,32.75,180.0,bottom
R1,22.5,50.5,270.0,bottom
R10,58.0,37.6,270.0,top
R11,30.0,39.5,0.0,top
R12,30.75,38.5,0.0,top
R13,24.25,67.9,90.0,bottom
R14,24.25,69.85,90.0,bottom
R15,27.75,67.9,90.0,bottom
R16,27.75,69.85,90.0,bottom
R17,36.0,42.25,180.0,top
R18,34.49,43.5,0.0,bottom
R19,32.25,43.0,90.0,bottom
R2,4.75,70.75,0.0,top
R20,8.5,42.51,270.0,top
R21,22.01,49.0,180.0,bottom
R22,8.5,40.01,270.0,top
R23,14.0,41.26,0.0,top
R25,15.5,40.76,90.0,top
R26,8.0,38.51,0.0,top
R3,28.0,38.5,180.0,top
R33,20.0,48.0,180.0,bottom
R34,22.0,48.0,180.0,bottom
R37,20.0,74.75,90.0,bottom
R38,9.5,78.25,180.0,bottom
R39,10.0,76.5,90.0,bottom
R4,30.75,43.0,270.0,bottom
R48,20.01,49.0,180.0,bottom
R49,42.5,15.75,270.0,bottom
R5,37.725,56.775,0.0,bottom
R50,40.0,18.25,90.0,bottom
R6,37.975,46.275,90.0,bottom
R7,27.225,41.525,0.0,bottom
R8,37.725,55.775,0.0,bottom
R9,37.725,57.775,0.0,bottom
TP1,69.75,5.0,0.0,top
TP2,62.5,31.25,0.0,top
TP3,6.75,35.25,0.0,top
TP4,3.75,35.25,0.0,top
TP5,22.5,69.8,270.0,bottom
TP6,22.5,67.3,270.0,bottom
U1,30.725,50.775,90.0,bottom
U2,41.25,30.5,270.0,top
U3,70.1375,36.715,90.0,top
U4,61.75,36.3,270.0,top
U6,11.0,41.26,90.0,top
