Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,C19702
"C10, C11",0402,2,10p,C32949
"C12, C13",0805,2,22u,C45783
"C2, C3, C4, C5",0402,4,100n,C1525
C6,0402,1,10n,C15195
"C7, C8",0603,2,1u,C15849
D2,0603,1,DEBUG_LED1,C72041
FB1,0603,1,120R,C22787
J1,PinHeader_2x07_P1.27mm_Vertical,1,STLINK_STDC14,C2881789
"J3, J4",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,C2883481
POWER_LED1,0603,1,POWER_LED,C72043
R1,0402,1,10k,C25744
"R2, R3, R4, R5, R6, R7, R9",0402,7,1k5,C25867
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
USB1,12401832E402A,1,USB_C_Receptacle_Power_Only,C464604
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C2857621
