Designator,Footprint,Quantity,Value,LCSC Part #
J1,5040501291,1,Molex_504050-1291,C563982
J2,Molex_5013310607,1,HEATER_PWM,C587861
J3,Molex_5013310607,1,MAGNETORQUER_PWM_0,C587861
J4,Molex_5013310607,1,MAGNETORQUER_PWM_1,C587861
J5,Molex_5013310607,1,MAGNETORQUER_PWM_2,C587861
J6,Molex_5013310607,1,MAGNETORQUER_PWM_3,C587861
J7,Molex_5013310607,1,MAGNETORQUER_PWM_4,C587861
J8,Molex_5013310607,1,MAGNETORQUER_PWM_5,C587861
U1,Teensy40_TopPinsOnly,1,Teensy4.0_TopPinsOnly,
U2,RFM69HCW_Adafruit_Breakout,1,RFM69HCW,
U3,BNO085_Adafruit_Breakout,1,BNO085_Adafruit_Breakout_I2C,
U4,BMP390_Adafruit_Breakout,1,BMP390,
