Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C16, C20, C4, C6, C7, C9",Nondescript_C_0402_1005Metric,10,100n,C77014
"C10, C12, C15, C17, C2, C21, C5, C8",Nondescript_C_0603_1608Metric,8,1u,C77046
"C18, C19, C22, C3",Nondescript_C_0603_1608Metric,4,10u,C344022
D1,0603,1,Blue LED,C72041
J1,B2BPHKSLFSN,1,Sensor Signal,C131337
"J10, J7, J8, J9",Molex_504050-0691,4,Molex_504050-0691,C563981
"J11, J12, J13",SHDR3W50P0X200_1X3_790X450X600P,3,Button_Socket,C131339
J2,B2BPHKSLFSN,1,Sensor PWR,C131337
J3,PinSocket_1x10_P2.54mm_Vertical,1,External SPI,C350306
J4,B2BPHKSLFSN,1,External Power,C131337
"R1, R2, R3, R4, R5, R6",Nondescript_R_0402_1005Metric,6,7.5k,C137934
"R10, R7, R8",Nondescript_R_0402_1005Metric,3,100k,C60491
R9,Nondescript_R_0402_1005Metric,1,150,C138054
"RV1, RV2",Potentiometer_Bourns_3314J_Vertical,2,R50k,C50895
"RV3, RV4",Potentiometer_Bourns_3314J_Vertical,2,R200,C124642
"TP1, TP10, TP2, TP5",Keystone_5001,4,TestPoint,C238122
"TP12, TP3, TP4, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.5mm,7,TestPoint_Probe,NA
U1,LQFP-64_10x10mm_P0.5mm,1,STM32L452RCT6,C192722
"U2, U3",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI323,C5368700
U4,SOIC127P600X175-8N,1,TCAN330DR,C2652876
"U5, U7",TSSOP-16_4.4x5mm_P0.65mm,2,INA260,C2155885
U6,SON65P200X200X80-7N,1,TLV76733DRVx,C2867572
