Designator,Mid X,Mid Y,Rotation,Layer
C1,149.4,-97.055,270.0,top
C10,146.425,-67.725,180.0,bottom
C11,149.999998,-26.4,180.0,top
C12,149.874998,-25.175,180.0,top
C13,148.149998,-26.4,0.0,top
C14,158.125,-60.98,90.0,bottom
C15,159.4,-60.675,90.0,bottom
C16,154.1,-66.5,180.0,bottom
C17,154.65,-67.75,180.0,bottom
C18,151.45,-53.425,0.0,top
C19,150.75,-43.45,90.0,top
C2,158.15,-48.975,180.0,top
C20,149.425,-79.4,0.0,bottom
C21,149.325,-78.1,0.0,bottom
C22,165.45,-49.575,270.0,top
C3,155.625,-44.075,90.0,top
C4,168.075,-64.52,270.0,bottom
C5,169.3,-64.495,270.0,bottom
C6,168.1,-66.37,90.0,bottom
C7,155.05,-52.125,0.0,bottom
C8,155.375,-50.85,0.0,bottom
C9,147.0,-66.5,180.0,bottom
D1,150.925,-59.325,270.0,top
J1,161.4,-73.725,270.0,top
J10,137.805001,-27.85,90.0,top
J11,136.6,-75.65,270.0,top
J12,131.4,-75.7,270.0,top
J13,166.825,-58.875,270.0,top
J2,169.025,-71.775,90.0,top
J3,125.925,-46.235,0.0,top
J4,171.575,-56.875,270.0,top
J5,168.025,-49.965,180.0,top
J7,138.1,-87.7,90.0,top
J8,160.97,-95.039652,270.0,top
J9,160.82,-35.139652,270.0,top
R1,151.16,-30.75,180.0,top
R10,161.825,-27.64,90.0,bottom
R2,163.875,-63.37,270.0,bottom
R3,164.025,-41.61,270.0,top
R4,149.26,-30.75,0.0,top
R5,163.875,-65.27,90.0,bottom
R6,158.325,-42.075,180.0,top
R7,143.4,-54.25,180.0,top
R8,160.05,-55.525,270.0,top
R9,154.875,-60.85,0.0,top
RV1,154.525,-71.375,270.0,top
RV2,148.0,-71.375,270.0,top
RV3,146.375,-95.55,0.0,top
RV4,152.45,-95.575,0.0,top
TP1,157.2,-93.45,0.0,top
TP10,141.775,-42.05,0.0,top
TP2,141.825,-94.3,0.0,top
TP5,143.125,-80.975,0.0,top
U1,150.925,-59.325,0.0,bottom
U2,165.9875,-64.57,270.0,bottom
U3,149.999998,-28.4875,180.0,top
U4,149.4,-83.625,270.0,bottom
U5,161.9875,-45.325,180.0,top
U6,156.325,-46.9,0.0,top
U7,151.0,-48.8,270.0,top
