Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C17, C18, C2, C21, C22, C23, C25, C3, C7, C8, C9",Nondescript_C_0402_1005Metric,14,100n,C1525
"C10, C11, C12, C15, C16, C19, C20, C24",Nondescript_C_0402_1005Metric,8,1u,C52923
"C26, C4",Nondescript_C_0603_1608Metric,2,10u,C77041
"C27, C5",Nondescript_C_0603_1608Metric,2,22u,C710887
D1,0603,1,Blue LED,C72041
J2,Bus Connector (Target),1,Molex_504050-1291,C563982
J3,Bus Connector (Control),1,Molex_504050-1291,C563982
J4,Molex_504050-0691,1,VSOLAR,C563981
J5,Molex_504050-1091,1,MAGNETORQUER_1,C5375652
J6,Molex_504050-1091,1,MAGNETORQUER_2,C5375652
J7,Molex_504050-1091,1,MAGNETORQUER_3,C5375652
L1,1008,1,2.2µH,C576403
"R1, R10, R11, R12, R13, R14, R15, R16, R22, R25, R29, R3, R32, R33, R34, R35, R36, R44, R47, R48, R6",Nondescript_R_0402_1005Metric,21,9k31,C270572
"R17, R18, R19, R2, R20, R21, R23, R24, R26, R27, R28, R30, R31, R37, R38, R39, R4, R5, R7, R8, R9",Nondescript_R_0402_1005Metric,21,33,C25105
"R40, R43",Nondescript_R_0402_1005Metric,2,18k7,C11476
"R41, R42",Nondescript_R_0402_1005Metric,2,6k19,C25914
"R45, R46",Nondescript_R_0402_1005Metric,2,15k8,C26956
"R49, R50",Nondescript_R_0402_1005Metric,2,60,C60310
R51,Nondescript_R_0603_1608Metric,1,36k5,C23029
U1,LQFP-64_10x10mm_P0.5mm,1,STM32L452RCTx,C192722
U2,SOIC127P600X175-8N,1,TCAN330DR,C2652876
U3,TSSOP-16_4.4x5mm_P0.65mm,1,INA260,C2155885
U5,QFN50P300X300X100-17N-D,1,MAGNETOMETER,C2654971
U6,Bosch_LGA-14_3x2.5mm_P0.5mm,1,IMU1,C5368700
U7,Bosch_LGA-14_3x2.5mm_P0.5mm,1,IMU2,C5368700
U8,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63900,C1518762
