Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C205, C206, C214, C216, C217, C218, C219, C220, C221",0603,12,10u,C344022
"C204, C207, C209, C210, C213, C222",0402,6,0.1u,C2649549
C208,0805,1,4.7u,C338100
"C211, C212",0402,2,0.047u,C318631
"C215, C401, C402",0402,3,1n,C76947
"C501, C502",0805,2,1u,C726584
"C503, C504",0805,2,2.2u,C577425
D201,0603,1,Green LED,C125093
"D401, D402",D_SOD-523,2,12V,C507911
"D501, D502",1206,2,White LED,C575513
"D503, D504",D_DO-15_P2.54mm_Vertical_KathodeUp,2,3A,C125939
J201,Molex_430450212,1,Molex_430450212,C293362
J301,Molex_430450612,1,Molex_430450612,C234188
J601,5040501291,1,504050-1291,C563982
J603,504050-1091,1,504050-1091,C5375652
L201,L_12x12mm_H8mm,1,1uH,C2998763
"Q401, Q402, Q403, Q404",Q3A_TEX,4,CSD17581Q3A,C2861705
R201,0402,1,2.21k,C305298
R202,0402,1,5.24k,C170332
R203,0603,1,30.31k,C423049
"R206, R208, R209",0402,3,10k,C71617
"R207, R211, R212",2512,3,0.01,C844296
R210,0603,1,100,C105588
"R401, R402",0603,2,294,C185345
R501,0402,1,68,C163455
R502,0402,1,150,C138054
"TP201, TP203, TP206, TP210, TP211, TP213, TP214, TP215, TP216, TP217, TP303, TP304, TP405, TP406",TestPoint_Keystone_5000-5004_Miniature,14,White,C238123
"TP301, TP306, TP403, TP404",TestPoint_Keystone_5000-5004_Miniature,4,Black,C238122
"TP302, TP401, TP402, TP503, TP504",TestPoint_Keystone_5000-5004_Miniature,5,Red,C5199900
"TP305, TP501",TestPoint_Keystone_5019_Minature,2,Ring,C238131
U201,RQM0029A-MFG,1,BQ25798RQMR,C2876593
U501,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,C2848334
U502,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76750DRVx,C2872569
