Designator,Mid X,Mid Y,Rotation,Layer
C201,37.92,30.3,180.0,top
C202,37.92,31.9,180.0,top
C203,37.9,33.5,180.0,top
C204,38.9,35.28,90.0,top
C205,41.7,31.3,0.0,top
C206,41.7,29.7,0.0,top
C207,44.525,31.85,270.0,top
C208,46.25,42.525,90.0,top
C209,45.5,33.525,0.0,top
C210,41.42,32.6,0.0,top
C211,41.35,34.35,0.0,bottom
C212,41.35,38.1,0.0,bottom
C213,38.9,37.18,270.0,top
C214,37.9,38.95,180.0,top
C215,39.85,46.32,90.0,bottom
C216,41.65,42.7,0.0,top
C217,37.92,40.55,180.0,top
C218,41.65,41.15,0.0,top
C219,37.92,42.15,180.0,top
C220,37.92,43.75,180.0,top
C221,37.92,45.35,180.0,top
C222,41.4,39.85,0.0,top
C401,54.175,30.0,180.0,top
C402,54.2,20.8,0.0,top
C501,19.8,54.775,180.0,top
C502,32.15,54.875,0.0,top
C503,23.075,60.1,180.0,top
C504,29.325,60.125,0.0,top
D201,38.075,24.7,0.0,bottom
D401,54.225,31.425,0.0,top
D402,54.075,19.35,180.0,top
D501,23.65,62.525,0.0,top
D502,28.325,62.525,180.0,top
D503,23.725,53.05,270.0,top
D504,28.15,53.0,270.0,top
J201,78.55,28.99,90.0,top
J301,78.7,19.05,90.0,top
J601,26.095,73.385,0.0,top
J603,64.85,70.75,0.0,top
L201,28.05,36.15,90.0,top
Q401,56.8,27.425001,0.0,top
Q402,56.8,23.525001,0.0,top
Q403,51.599999,27.425001,180.0,top
Q404,51.600001,23.525001,180.0,top
R201,38.85,28.215,90.0,bottom
R202,44.65,39.4,0.0,top
R203,48.125,40.9,90.0,top
R206,46.275,36.75,0.0,bottom
R207,43.95,25.45,180.0,top
R208,46.275,37.775,0.0,bottom
R209,41.075,40.425,270.0,bottom
R210,55.15,65.7,90.0,bottom
R211,55.1,63.5625,90.0,top
R212,35.9,49.525,180.0,top
R401,53.3,29.0,90.0,bottom
R402,53.375,21.95,270.0,bottom
R501,20.625,61.315,270.0,top
R502,31.65,61.265,270.0,top
TP201,69.13,31.68,0.0,top
TP203,46.89,19.79,0.0,top
TP206,40.99,19.94,0.0,top
TP210,59.0,60.6,0.0,top
TP211,59.0,66.53,0.0,top
TP213,38.35,53.7,0.0,top
TP214,32.85,45.425,0.0,top
TP215,28.025,27.425,0.0,top
TP216,28.025,44.9,0.0,top
TP217,50.5,40.0,0.0,top
TP301,69.275,15.2,0.0,top
TP302,69.125,20.475,0.0,top
TP303,61.9,9.25,0.0,top
TP304,63.475,14.275,0.0,top
TP305,66.6,6.75,180.0,top
TP306,69.225,11.825,0.0,top
TP401,56.45,34.1,0.0,top
TP402,58.525,18.45,0.0,top
TP403,53.0,34.125,0.0,top
TP404,50.75,18.5,0.0,top
TP405,59.05,31.15,0.0,top
TP406,55.325,15.625,0.0,top
TP501,15.04,56.005,0.0,top
TP503,16.35,64.825,0.0,top
TP504,32.275,66.075,0.0,top
U201,41.999999,36.150001,90.0,top
U501,23.725,57.45,270.0,top
U502,28.075,57.45,270.0,top
