Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,C344022
"C10, C11, C12, C2, C3, C4, C5, C6, C9",Nondescript_C_0402_1005Metric,9,100n,C2649549
C7,0805,1,1u,C726584
C8,Nondescript_C_0603_1608Metric,1,10u,C344022
"D1, D2",0603,2,Blue LED,C72041
"JP11, JP12",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,SolderJumper_2_Bridged,
"R1, R2",0402,2,1k5,C25867
R3,Nondescript_R_0402_1005Metric,1,2.21k,C305298
R4,0402,1,68,C163455
"R5, R6",0402,2,36k,C852742
R7,Nondescript_R_0402_1005Metric,1,301k,C25775
R8,Nondescript_R_0402_1005Metric,1,715k,C270585
"U1, U2",Bosch_LGA-14_3x2.5mm_P0.5mm,2,BMI323,C5368700
U3,SOT-23-8,1,TCAN330,C2877587
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32L452CEU6,C222355
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76701DRVx,C2863998
