Designator,Mid X,Mid Y,Rotation,Layer
C1,43.275,39.075,180.0,bottom
C2,40.675,40.4,90.0,bottom
C3,42.675,37.85,180.0,bottom
C4,42.7,33.8,180.0,bottom
C5,34.65,30.28,270.0,bottom
C6,32.55,38.55,0.0,bottom
C7,45.15,52.175,90.0,bottom
C8,48.475,52.775,90.0,bottom
D1,37.9125,56.85,0.0,bottom
D2,46.95,52.775,270.0,bottom
PCB1,0.0,0.0,0.0,top
R1,29.7,35.56,270.0,bottom
R2,27.7,29.325,90.0,bottom
R3,40.41,56.85,180.0,bottom
R4,46.46,54.8,0.0,bottom
R5,50.56,47.125,180.0,bottom
R6,52.9,32.325,270.0,bottom
R7,37.8,30.25,90.0,bottom
R8,36.825,30.25,270.0,bottom
U1,9.3575,53.3575,180.0,bottom
U2,21.2825,28.5575,90.0,bottom
U3,37.575,18.9375,270.0,bottom
U4,37.625,35.35,0.0,bottom
U5,47.4875,50.0,0.0,bottom
