Designator,Footprint,Quantity,Value,LCSC Part #
J1,Bus Connector (Target),1,Molex_504050-1291,C563982
J2,Bus Connector (Control),1,Molex_504050-1291,C563982
J3,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12,
TP1,Keystone_5000,1,GND,C5199900
TP10,Keystone_5000,1,BD2BD,C5199900
TP12,Keystone_5000,1,VBUS,C5199900
TP3,Keystone_5000,1,CANL,C5199900
TP4,Keystone_5000,1,CANH,C5199900
TP5,Keystone_5000,1,BOOT0,C5199900
TP6,Keystone_5000,1,SWO,C5199900
TP7,Keystone_5000,1,SWCLK,C5199900
TP8,Keystone_5000,1,NRST,C5199900
TP9,Keystone_5000,1,SWDIO,C5199900
