,,,,,,,,Total,$28.24,
,,,,,,,,,,
Reference,Description,MPN,Manufacturer,Vendor PN,Vendor,Quantity,Unit Price,Price date,Price,Notes
J301,Interconnect to USB-C header,,,,,,,,$0.00,
J301,USB-C header,23055,SparkFun,23055,SparkFun,1,4.95,2024-03-11,$4.95,
J601,Power board interconnect cable,15132-1202,Molex,538-15132-1202,Mouser,1,$7.5500,2024-03-11,$7.55,Only one of these interconnect cables is strictly necessary. But it might be useful to have extras of various sizes.
J601,Power board interconnect cable,15132-1203,Molex,538-15132-1203,Mouser,1,$7.2900,2024-03-11,$7.29,Only one of these interconnect cables is strictly necessary. But it might be useful to have extras of various sizes.
J601,Power board interconnect cable,15132-1201,Molex,538-15132-1201,Mouser,1,$8.4500,2024-03-11,$8.45,Only one of these interconnect cables is strictly necessary. But it might be useful to have extras of various sizes.
M601-M604,M3 Bolts,,,,,4,,,,"Recommend just keeping several of these on hand and treating them as general supplies, rather than specific to this board."
M601-M604,M3 Nuts,,,,,4,,,,"Recommend just keeping several of these on hand and treating them as general supplies, rather than specific to this board."
